District,Date,Month,Year,Visitors
Khammam,07-01-2016,July,2016,0
Khammam,08-01-2016,August,2016,0
Khammam,09-01-2016,September,2016,0
Khammam,10-01-2016,October,2016,0
Khammam,11-01-2016,November,2016,0
Khammam,12-01-2016,December,2016,0
Komaram Bheem Asifabad,01-01-2016,January,2016,NULL
Komaram Bheem Asifabad,02-01-2016,February,2016,NULL
Komaram Bheem Asifabad,03-01-2016,March,2016,NULL
Komaram Bheem Asifabad,04-01-2016,April,2016,NULL
Komaram Bheem Asifabad,05-01-2016,May,2016,NULL
Komaram Bheem Asifabad,06-01-2016,June,2016,NULL
Komaram Bheem Asifabad,07-01-2016,July,2016,NULL
Komaram Bheem Asifabad,08-01-2016,August,2016,NULL
Komaram Bheem Asifabad,09-01-2016,September,2016,NULL
Komaram Bheem Asifabad,10-01-2016,October,2016,0
Komaram Bheem Asifabad,11-01-2016,November,2016,0
Komaram Bheem Asifabad,12-01-2016,December,2016,0
Mahabubabad ,01-01-2016,January,2016,NULL
Mahabubabad ,02-01-2016,February,2016,NULL
Mahabubabad ,03-01-2016,March,2016,NULL
Mahabubabad ,04-01-2016,April,2016,NULL
Mahabubabad ,05-01-2016,May,2016,NULL
Mahabubabad ,06-01-2016,June,2016,NULL
Mahabubabad ,07-01-2016,July,2016,NULL
Mahabubabad ,08-01-2016,August,2016,NULL
Mahabubabad ,09-01-2016,September,2016,NULL
Mahabubabad ,10-01-2016,October,2016,0
Mahabubabad ,11-01-2016,November,2016,0
Mahabubabad ,12-01-2016,December,2016,0
Mahbubnagar,01-01-2016,January,2016,123
Mahbubnagar,02-01-2016,February,2016,126
Mahbubnagar,03-01-2016,March,2016,103
Mahbubnagar,04-01-2016,April,2016,75
Mahbubnagar,05-01-2016,May,2016,58
Mahbubnagar,06-01-2016,June,2016,68
Mahbubnagar,07-01-2016,July,2016,63
Mahbubnagar,08-01-2016,August,2016,86
Mahbubnagar,09-01-2016,September,2016,74
Mahbubnagar,10-01-2016,October,2016,37
Mahbubnagar,11-01-2016,November,2016,29
Mahbubnagar,12-01-2016,December,2016,26
Mancherial,01-01-2016,January,2016,NULL
Mancherial,02-01-2016,February,2016,NULL
Mancherial,03-01-2016,March,2016,NULL
Mancherial,04-01-2016,April,2016,NULL
Mancherial,05-01-2016,May,2016,NULL
Mancherial,06-01-2016,June,2016,NULL
Mancherial,07-01-2016,July,2016,NULL
Mancherial,08-01-2016,August,2016,NULL
Mancherial,09-01-2016,September,2016,NULL
Mancherial,10-01-2016,October,2016,0
Mancherial,11-01-2016,November,2016,0
Mancherial,12-01-2016,December,2016,0
Medak ,01-01-2016,January,2016,0
Medak ,02-01-2016,February,2016,0
