District,Date,Month,Year,Visitors
Khammam,05-01-2016,May,2016,433994
Khammam,06-01-2016,June,2016,445862
Khammam,07-01-2016,July,2016,414963
Khammam,08-01-2016,August,2016,503654
Khammam,09-01-2016,September,2016,368437
Khammam,10-01-2016,October,2016,121575
Khammam,11-01-2016,November,2016,110634
Khammam,12-01-2016,December,2016,116403
Komaram Bheem Asifabad,01-01-2016,January,2016,NULL
Komaram Bheem Asifabad,02-01-2016,February,2016,NULL
Komaram Bheem Asifabad,03-01-2016,March,2016,NULL
Komaram Bheem Asifabad,04-01-2016,April,2016,NULL
Komaram Bheem Asifabad,05-01-2016,May,2016,NULL
Komaram Bheem Asifabad,06-01-2016,June,2016,NULL
Komaram Bheem Asifabad,07-01-2016,July,2016,NULL
Komaram Bheem Asifabad,08-01-2016,August,2016,NULL
Komaram Bheem Asifabad,09-01-2016,September,2016,NULL
Komaram Bheem Asifabad,10-01-2016,October,2016,0
Komaram Bheem Asifabad,11-01-2016,November,2016,0
Komaram Bheem Asifabad,12-01-2016,December,2016,0
Mahabubabad ,01-01-2016,January,2016,NULL
Mahabubabad ,02-01-2016,February,2016,NULL
Mahabubabad ,03-01-2016,March,2016,NULL
Mahabubabad ,04-01-2016,April,2016,NULL
Mahabubabad ,05-01-2016,May,2016,NULL
Mahabubabad ,06-01-2016,June,2016,NULL
Mahabubabad ,07-01-2016,July,2016,NULL
Mahabubabad ,08-01-2016,August,2016,NULL
Mahabubabad ,09-01-2016,September,2016,NULL
Mahabubabad ,10-01-2016,October,2016,13032
Mahabubabad ,11-01-2016,November,2016,114015
Mahabubabad ,12-01-2016,December,2016,12955
Mahbubnagar,01-01-2016,January,2016,577194
Mahbubnagar,02-01-2016,February,2016,1312194
Mahbubnagar,03-01-2016,March,2016,1732086
Mahbubnagar,04-01-2016,April,2016,622507
Mahbubnagar,05-01-2016,May,2016,571956
Mahbubnagar,06-01-2016,June,2016,561074
Mahbubnagar,07-01-2016,July,2016,562385
Mahbubnagar,08-01-2016,August,2016,1133191
Mahbubnagar,09-01-2016,September,2016,567786
Mahbubnagar,10-01-2016,October,2016,198629
Mahbubnagar,11-01-2016,November,2016,256404
Mahbubnagar,12-01-2016,December,2016,210228
Mancherial,01-01-2016,January,2016,NULL
Mancherial,02-01-2016,February,2016,NULL
Mancherial,03-01-2016,March,2016,NULL
Mancherial,04-01-2016,April,2016,NULL
Mancherial,05-01-2016,May,2016,NULL
Mancherial,06-01-2016,June,2016,NULL
Mancherial,07-01-2016,July,2016,NULL
Mancherial,08-01-2016,August,2016,NULL
Mancherial,09-01-2016,September,2016,NULL
Mancherial,10-01-2016,October,2016,3124
Mancherial,11-01-2016,November,2016,2255
Mancherial,12-01-2016,December,2016,2423
Medak ,01-01-2016,January,2016,92600
Medak ,02-01-2016,February,2016,215000
Medak ,03-01-2016,March,2016,1318000
Medak ,04-01-2016,April,2016,300000
Medak ,05-01-2016,May,2016,198000
Medak ,06-01-2016,June,2016,166700
Medak ,07-01-2016,July,2016,153300
Medak ,08-01-2016,August,2016,216100
Medak ,09-01-2016,September,2016,132600
Medak ,10-01-2016,October,2016,15600
Medak ,11-01-2016,November,2016,132300
Medak ,12-01-2016,December,2016,523000
Medchal ,01-01-2016,January,2016,NULL
Medchal ,02-01-2016,February,2016,NULL
Medchal ,03-01-2016,March,2016,NULL
Medchal ,04-01-2016,April,2016,NULL
Medchal ,05-01-2016,May,2016,NULL
Medchal ,06-01-2016,June,2016,NULL
Medchal ,07-01-2016,July,2016,NULL
Medchal ,08-01-2016,August,2016,NULL
Medchal ,09-01-2016,September,2016,NULL
Medchal ,10-01-2016,October,2016,NULL
Medchal ,11-01-2016,November,2016,NULL
Medchal ,12-01-2016,December,2016,NULL
Nagarkurnool ,01-01-2016,January,2016,NULL
Nagarkurnool ,02-01-2016,February,2016,NULL
Nagarkurnool ,03-01-2016,March,2016,NULL
Nagarkurnool ,04-01-2016,April,2016,NULL
Nagarkurnool ,05-01-2016,May,2016,NULL
Nagarkurnool ,06-01-2016,June,2016,NULL
Nagarkurnool ,07-01-2016,July,2016,NULL
Nagarkurnool ,08-01-2016,August,2016,NULL
Nagarkurnool ,09-01-2016,September,2016,NULL
Nagarkurnool ,10-01-2016,October,2016,201058
Nagarkurnool ,11-01-2016,November,2016,188797
Nagarkurnool ,12-01-2016,December,2016,198647
Nalgonda,01-01-2016,January,2016,566515
Nalgonda,02-01-2016,February,2016,539467
Nalgonda,03-01-2016,March,2016,619462
Nalgonda,04-01-2016,April,2016,601253
Nalgonda,05-01-2016,May,2016,628872
Nalgonda,06-01-2016,June,2016,551239
Nalgonda,07-01-2016,July,2016,582820
Nalgonda,08-01-2016,August,2016,988102
Nalgonda,09-01-2016,September,2016,742402
Nalgonda,10-01-2016,October,2016,3508
Nalgonda,11-01-2016,November,2016,21046
Nalgonda,12-01-2016,December,2016,13775
Nirmal,01-01-2016,January,2016,NULL
Nirmal,02-01-2016,February,2016,NULL
Nirmal,03-01-2016,March,2016,NULL
Nirmal,04-01-2016,April,2016,NULL
Nirmal,05-01-2016,May,2016,NULL
Nirmal,06-01-2016,June,2016,NULL
Nirmal,07-01-2016,July,2016,NULL
Nirmal,08-01-2016,August,2016,NULL
Nirmal,09-01-2016,September,2016,NULL
Nirmal,10-01-2016,October,2016,475955
Nirmal,11-01-2016,November,2016,201388
Nirmal,12-01-2016,December,2016,239267
Nizamabad,01-01-2016,January,2016,576
Nizamabad,02-01-2016,February,2016,869
Nizamabad,03-01-2016,March,2016,408
Nizamabad,04-01-2016,April,2016,476
Nizamabad,05-01-2016,May,2016,554
Nizamabad,06-01-2016,June,2016,367
Nizamabad,07-01-2016,July,2016,644
Nizamabad,08-01-2016,August,2016,589
Nizamabad,09-01-2016,September,2016,553
Nizamabad,10-01-2016,October,2016,434
Nizamabad,11-01-2016,November,2016,617
Nizamabad,12-01-2016,December,2016,355
Peddapalli,01-01-2016,January,2016,NULL
Peddapalli,02-01-2016,February,2016,NULL
Peddapalli,03-01-2016,March,2016,NULL
Peddapalli,04-01-2016,April,2016,NULL
Peddapalli,05-01-2016,May,2016,NULL
Peddapalli,06-01-2016,June,2016,NULL
Peddapalli,07-01-2016,July,2016,NULL
Peddapalli,08-01-2016,August,2016,NULL
Peddapalli,09-01-2016,September,2016,NULL
Peddapalli,10-01-2016,October,2016,950
Peddapalli,11-01-2016,November,2016,1145
